Grupa,Asistent,"Notă finală",Total,"Examen grilă final (maxim 10)","Total lucrări de curs (maxim 10)","Lucrare de curs 1 (maxim 5)","Lucrare de curs 2 (maxim 5)","Lucrare de curs 3 (maxim 5)","Total teme (maxim 10)",Tema 0 (maxim 10),"Tema 1 (maxim 10)","Tema 2 (maxim 10)","Tema 3 (maxim 10)","Tema 4 (maxim 10)","Midterm practic (maxim 10)","Final practic (maxim 10)","Final practic refacere (maxim 10)",Total laborator,Lab00,Lab01,Lab02,Lab03,Lab04,Lab05,Lab06,Lab07,Lab08,Lab09,Lab10,Lab11,Lab12,Observații
311CA,,9.0,8.6525,5.67,10,4.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,5.6,6.7,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,,9.0,8.684,8.62,5.833333333,2.0,1.0,4.0,8.976,10.0,10.0,7.9,8.9,,6.6,7.0,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,,6.0,6.417,3.66,5,1.0,4.0,1.0,9.008,10.0,10.0,6.9,10.0,,4.5,4.2,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,,9.0,8.804,5.8,7.5,2.0,4.0,3.0,9.616,10.0,10.0,8.8,10.0,,6.5,8.7,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,,7.0,7.1,4.92,4.166666667,2.0,2.0,1.0,8.24,10.0,10.0,4.5,10.0,,6.1,6.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,CC,9.0,8.545,6.5,5.833333333,1.0,4.0,2.0,9.04,10.0,10.0,8.8,8.2,,5.1,9.1,,10,X,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,
311CA,,10.0,9.9375,6.83,10,5.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,7.3,10.5,,10,x,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,CC,9.0,9.325,7.88,8.333333333,2.0,5.0,3.0,10,10.0,10.0,11.0,10.0,,6.8,7.7,,10,X,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,
311CA,CC,10.0,11,10.04,10,3.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,12.0,12.0,,10,X,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,
311CA,CC,10.0,10.0775,8.37,10,2.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,9.1,8.3,,10,X,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,CC,7.0,7.1795,3.33,5.833333333,2.0,0.0,5.0,7.568,,10.0,6.8,8.1,,6.8,7.6,,10,X,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,10.0,
311CA,CC,9.0,8.878,6.08,10,4.0,4.0,4.0,9.392,10.0,10.0,11.0,7.1,,6.1,7.6,,10,X,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,,9.0,9.22,6.34,7.5,2.0,4.0,3.0,10,10.0,10.0,11.0,10.0,,5.1,10.0,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,,7.0,7.1345,4.87,6.666666667,1.0,4.0,3.0,9.008,10.0,10.0,6.9,10.0,,5.9,4.3,,10,x,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,,10.0,
311CA,,8.0,7.895,6.5,3.333333333,1.0,1.0,2.0,10,10.0,10.0,11.0,10.0,,5.2,7.0,,10,,10.0,10.0,,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
311CA,CC,10.0,10.31,7.88,10,3.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,8.4,12.0,,10,X,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,11.0,11.0,
312CA,SW,9.0,8.6885,4.83,9.166666667,3.0,4.0,4.0,9.584,10.0,10.0,11.0,7.7,,5.1,8.8,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,8.0,8.178,6.92,8.333333333,4.0,4.0,2.0,9.552,10.0,10.0,8.6,10.0,,4.1,5.6,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,SW,7.0,6.7,3.5,7.5,3.0,3.0,3.0,10,10.0,10.0,10.1,10.0,,2.5,3.8,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,SW,6.0,6.1045,3.45,5,4.0,2.0,0.0,7.728,10.0,10.0,4.7,8.2,,6.1,3.8,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,
312CA,FO,10.0,9.9375,6.25,9.166666667,2.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,12.0,10.5,,10,x,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,9.0,8.5225,5.25,10,4.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,5.6,6.6,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,,7.0,7.2175,3.17,7.5,3.0,4.0,2.0,3.6,10.0,10.0,-10.0,10.0,,9.5,9.8,,10,x,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,SW,10.0,10.22,7.88,8.333333333,3.0,3.0,4.0,10,10.0,10.0,11.0,10.0,,12.0,12.0,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,SW,7.0,7.2675,3.75,8.333333333,3.0,5.0,2.0,8.88,10.0,10.0,8.8,7.7,,6.1,5.0,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,SW,7.0,6.6275,4.87,7.5,2.0,4.0,3.0,2.16,10.0,10.0,-10.0,5.5,,4.2,9.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,,9.0,9.0875,7.29,10,3.0,5.0,5.0,10,10.0,10.0,10.5,10.0,,5.4,6.9,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,6.0,6.14,2.84,5.833333333,1.0,4.0,2.0,8.88,10.0,10.0,8.8,7.7,,3.6,3.9,,10,x,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,SW,8.0,7.931,5.34,5.833333333,3.0,3.0,1.0,9.744,10.0,10.0,11.0,8.2,,5.6,6.9,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,7.0,6.7495,4.71,8.333333333,2.0,4.0,4.0,7.888,10.0,10.0,5.2,8.2,,6.0,3.0,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,8.0,8.35,5.34,8.333333333,3.0,3.0,4.0,10,10.0,10.0,10.0,10.0,,4.9,7.1,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,7.0,6.685,2.38,4.166666667,1.0,2.0,2.0,9.04,10.0,10.0,8.8,8.2,,8.8,5.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,9.0,8.995,6.62,10,5.0,5.0,2.0,10,10.0,10.0,11.0,10.0,,4.9,7.4,,10,x,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,10.0,10.77,9.58,9.166666667,2.0,5.0,4.0,10,10.0,10.0,10.5,10.0,,10.0,10.0,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,7.0,6.941,5.34,2.5,0.0,1.0,2.0,9.744,10.0,10.0,11.0,8.2,,3.7,5.7,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,9.0,9.4475,8.29,10,4.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,8.0,6.3,,10,x,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,9.0,9.2625,7.95,6.666666667,2.0,2.0,4.0,10,10.0,10.0,11.0,10.0,,6.5,8.5,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,8.0,7.995,4.54,8.333333333,1.0,4.0,5.0,9.04,10.0,10.0,8.8,8.2,,8.5,6.0,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,7.0,7.4485,4.87,7.5,1.0,4.0,4.0,7.024,10.0,10.0,8.0,2.7,,6.0,7.0,,10,x,10.0,10.0,,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,8.0,7.5635,5.59,8.333333333,1.0,5.0,4.0,9.744,10.0,10.0,11.0,8.2,,3.8,4.4,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,6.0,5.9325,5.59,4.166666667,1.0,2.0,2.0,3.6,10.0,10.0,-10.0,10.0,,4.1,6.4,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
312CA,FO,7.0,7.078,5.92,5.833333333,1.0,4.0,2.0,5.872,10.0,10.0,7.1,,,7.8,5.9,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
313CA,GV,10.0,10.8175,9.75,10,3.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,8.8,10.4,,10,x,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,
313CA,,,0,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,
313CA,ST,8.0,7.98,5.46,6.666666667,4.0,3.0,1.0,10,10.0,10.0,10.5,10.0,,5.4,6.3,,10,,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,
313CA,GV,10.0,10.6675,8.67,10,4.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,12.0,12.0,,10,x,10.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,,12.0,
313CA,GV,8.0,8.3275,6.29,4.166666667,2.0,3.0,,7.12,10.0,10.0,11.0,,,8.5,10.3,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
313CA,GV,8.0,8.06,6.92,8.333333333,2.0,5.0,3.0,3.6,10.0,10.0,-10.0,10.0,,6.8,10.7,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,
313CA,GV,8.0,7.6025,5.41,5,1.0,4.0,1.0,10,10.0,10.0,11.0,10.0,,5.5,5.8,,10,x,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,
313CA,GV,7.0,7.18,6.62,9.166666667,3.0,5.0,3.0,3.6,10.0,10.0,-10.0,10.0,,6.5,6.4,,10,x,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,
313CA,GV,10.0,9.8825,7.21,10,3.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,5.8,10.0,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,
313CA,ST,10.0,10.22,7.76,10,3.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,7.8,10.0,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,
313CA,GV,6.0,5.915,4.38,8.333333333,2.0,3.0,5.0,2.94,10.0,9.7,-10.0,8.2,,4.1,5.7,,10,x,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,
313CA,ST,9.0,8.7575,8.83,9.166666667,3.0,3.0,5.0,10,10.0,10.0,11.0,10.0,,,6.7,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,
313CA,GV,6.0,6.23,4.66,6.666666667,3.0,4.0,1.0,3.6,10.0,10.0,-10.0,10.0,,3.4,7.3,,10,x,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,
313CA,ST,10.0,9.9285,8.09,6.666666667,3.0,5.0,,9.744,10.0,10.0,11.0,8.2,,9.7,12.0,,10,,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,
313CA,ST,10.0,10.6675,8.67,10,3.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,10.0,12.0,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,
313CA,GV,8.0,7.7625,3.75,6.666666667,1.0,4.0,3.0,10,10.0,10.0,11.0,10.0,,6.0,6.9,,10,x,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,
313CA,ST,7.0,6.625,3.38,5.833333333,1.0,2.0,4.0,3.6,10.0,10.0,-10.0,10.0,,9.3,8.3,,10,,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,
313CA,ST,4.0,4.276,3.87,3.333333333,2.0,,2.0,3.264,10.0,,,7.7,,2.6,3.3,5.0,9.1,,10.0,10.0,10.0,,,10.0,10.0,,10.0,11.0,10.0,10.0,
313CA,ST,9.0,8.3075,5.13,9.166666667,2.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,,8.6,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,
313CA,GV,8.0,7.9875,3.63,5.833333333,1.0,2.0,4.0,10,10.0,10.0,11.0,10.0,,7.3,7.9,,10,x,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,
313CA,ST,10.0,11,10.63,10,5.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,10.2,12.0,,10,,10.0,10.0,11.0,12.0,10.0,10.0,11.0,12.0,10.0,10.0,12.0,12.0,
313CA,ST,10.0,9.7735,8.13,7.5,1.0,3.0,5.0,9.744,10.0,10.0,11.0,8.2,,6.8,10.9,,10,,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,,
313CA,ST,8.0,7.7475,6.29,10,4.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,,4.7,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,
313CA,ST,10.0,9.6415,6.67,10,3.0,5.0,4.0,9.936,10.0,10.0,11.0,8.8,,4.9,10.4,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,
313CA,ST,9.0,8.525,5.2,10,4.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,,8.9,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,
313CA,ST,7.0,7.12,4.62,3.333333333,0.0,2.0,2.0,9.04,10.0,10.0,8.8,8.2,,3.8,7.3,,10,,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,,
314CA,ES,9.0,9.3825,6.55,10,4.0,5.0,3.0,9.04,10.0,10.0,8.8,8.2,,6.1,9.5,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,9.0,8.56,4.8,8.333333333,4.0,3.0,3.0,10,10.0,10.0,11.0,10.0,,6.1,8.0,,10,,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,5.0,5.2495,2.63,5,2.0,2.0,2.0,7.568,10.0,10.0,4.7,7.7,,,3.8,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,7.0,7.386,4.54,7.5,1.0,4.0,4.0,8.784,10.0,10.0,6.2,10.0,,3.8,6.2,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,8.0,8.3635,4.75,8.333333333,4.0,3.0,3.0,9.744,10.0,10.0,11.0,8.2,,6.4,7.4,,10,x,11.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,7.0,6.773,6.2,7.5,3.0,3.0,3.0,2.992,10.0,10.0,-10.0,8.1,,6.0,7.0,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,7.0,7.1525,3.83,3.333333333,2.0,2.0,,10,10.0,10.0,11.0,10.0,,5.7,6.5,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,10.0,10.5275,8.67,10,3.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,8.6,12.0,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,
314CA,AFS,9.0,9.1175,6.17,10,3.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,6.0,7.9,,10,x,10.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,9.0,9.474,6.08,9.166666667,5.0,3.0,3.0,9.616,10.0,10.0,8.8,10.0,,10.0,8.7,,10,x,9.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,11.0,10.0,10.0,10.0,
314CA,AFS,6.0,5.5035,3.75,3.333333333,0.0,3.0,1.0,7.344,10.0,10.0,4.0,7.7,,3.3,3.6,,10,x,9.0,12.0,,11.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,
314CA,ES,8.0,7.9615,3.83,8.333333333,2.0,3.0,5.0,9.616,10.0,10.0,8.8,10.0,,6.0,7.0,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,10.0,9.585,7.0,10,4.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,5.6,9.1,,10,x,11.0,12.0,11.0,11.0,11.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,8.0,8.005,7.5,5.833333333,1.0,4.0,2.0,8.88,10.0,10.0,8.8,7.7,,6.1,5.7,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,10.0,9.7825,9.13,10,5.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,,12.0,,10,x,11.0,12.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,10.0,10.4875,8.95,10,5.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,10.0,9.0,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,6.0,5.975,5.2,9.166666667,3.0,3.0,5.0,3.6,10.0,10.0,-10.0,10.0,,3.5,4.2,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,9.0,8.815,8.34,9.166666667,3.0,4.0,4.0,10,10.0,10.0,11.0,9.4,,4.8,5.5,,10,x,11.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,9.0,9.483,7.04,10,5.0,5.0,4.0,9.552,10.0,10.0,10.5,8.1,,8.6,7.9,,10,x,10.0,12.0,10.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,10.0,10.0575,7.83,9.166666667,2.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,9.5,9.1,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,9.0,9.4275,7.29,10,5.0,4.0,5.0,10,10.0,10.0,11.0,10.0,,6.8,7.7,,10,x,9.0,12.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,,
314CA,ES,6.0,6.47,5.34,5.833333333,2.0,3.0,2.0,3.6,10.0,10.0,-10.0,10.0,,4.6,7.6,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,ES,8.0,7.735,6.2,6.666666667,3.0,4.0,1.0,9.36,10.0,10.0,8.0,10.0,,4.7,5.5,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,10.0,10.216,8.42,9.166666667,3.0,4.0,4.0,9.744,10.0,10.0,11.0,8.2,,8.0,10.8,,10,x,10.0,12.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,10.0,9.801,5.62,10,2.0,5.0,5.0,9.584,10.0,10.0,10.5,8.2,,10.9,10.6,,10,x,10.0,12.0,12.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,
314CA,AFS,10.0,9.6475,6.25,9.166666667,2.0,5.0,4.0,10,10.0,10.0,11.0,10.0,,7.1,10.2,,10,x,10.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,
315CA,,4.0,4.703,2.71,0.8333333333,1.0,0.0,0.0,5.712,10.0,10.0,,6.6,,2.7,3.1,4.1,10,,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,10.0,10.09,8.04,8.333333333,3.0,3.0,4.0,10,10.0,10.0,10.5,10.0,,8.3,12.0,,10,,10.0,10.0,12.0,10.0,11.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,
315CA,,9.0,9.454,6.92,8.333333333,1.0,4.0,5.0,9.616,10.0,10.0,8.8,10.0,,5.7,11.5,,10,,10.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,9.0,9.145,6.38,9.166666667,3.0,4.0,4.0,10,10.0,10.0,11.0,10.0,,6.5,8.1,,10,,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,7.0,6.555,6.04,8.333333333,3.0,4.0,3.0,2.16,10.0,10.0,-10.0,5.5,,4.3,7.3,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,9.0,8.777,5.54,8.333333333,3.0,4.0,3.0,8.608,10.0,6.4,8.8,10.0,,7.4,9.0,,10,,10.0,12.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,8.0,7.7415,4.83,5,1.0,4.0,1.0,9.616,10.0,10.0,8.8,10.0,,6.3,7.0,,10,,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,7.0,6.7575,3.63,5.833333333,3.0,2.0,2.0,8.88,10.0,10.0,8.8,7.7,,3.8,5.5,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,7.0,7.17,7.04,7.5,2.0,3.0,4.0,3.6,10.0,10.0,-10.0,10.0,,5.1,7.5,,10,,10.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,8.0,7.77,3.92,7.5,3.0,4.0,2.0,10,10.0,10.0,11.0,10.0,,5.4,6.5,,10,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
315CA,,10.0,10.8575,9.83,10,3.0,5.0,5.0,10,10.0,10.0,11.0,10.0,,9.0,11.5,,10,,12.0,12.0,12.0,12.0,12.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,
315CA,,7.0,7.294,4.04,5,1.0,2.0,3.0,9.616,10.0,10.0,8.8,10.0,,4.3,6.8,,10,,10.0,10.0,10.0,10.0,12.0,,10.0,10.0,10.0,10.0,10.0,10.0,
